iter	Logloss
0	0.61515018
5	0.4164224148
10	0.3556574903
15	0.3296676757
20	0.3193173239
25	0.3137253401
30	0.3102108948
35	0.3080131247
40	0.3065403674
45	0.305474148
50	0.3048086228
55	0.3042771493
60	0.3037637908
65	0.3033756603
70	0.3030353303
75	0.3027144009
80	0.3024778821
85	0.302274321
90	0.302039526
95	0.3018759642
100	0.3016669394
105	0.3015090751
110	0.3013619045
115	0.3011623755
120	0.3010265708
125	0.300850679
130	0.3007468678
135	0.3006395213
140	0.3005127156
145	0.3004134332
150	0.3003011488
155	0.3002146639
160	0.3001061778
165	0.3000211245
170	0.2999218421
175	0.2998491188
180	0.2997339126
185	0.2996362372
190	0.2995621991
195	0.2994779639
200	0.2993856937
205	0.2993079741
210	0.2992469087
215	0.2991716142
220	0.2990979267
225	0.2990282712
230	0.2989487693
235	0.2988781789
240	0.2988274859
245	0.298780036
250	0.2987024625
255	0.2986200096
260	0.2985609602
265	0.298509303
270	0.29844964
275	0.2983917302
280	0.2983325055
285	0.2982661224
290	0.2982142899
295	0.2981562924
300	0.2981057746
305	0.2980569807
310	0.2980095601
315	0.2979644769
320	0.2979228706
325	0.2978749825
330	0.297833084
335	0.2978036908
340	0.2977591043
345	0.2977159202
350	0.2976667465
355	0.2976246728
360	0.2975809628
365	0.2975327825
370	0.2974853911
375	0.2974443983
380	0.2974021201
385	0.2973658022
390	0.2973264457
395	0.2972909752
400	0.2972559429
405	0.2972226637
410	0.297194001
415	0.2971654551
420	0.297130043
425	0.2971047403
430	0.2970790578
435	0.2970500152
440	0.2970210018
445	0.2969851807
450	0.2969545311
455	0.2969271832
460	0.2969009455
465	0.2968716692
470	0.2968363739
475	0.2968187263
480	0.2967922257
485	0.296756872
490	0.2967251122
495	0.2966932939
500	0.2966577065
505	0.2966238138
510	0.2965868823
515	0.2965577813
520	0.2965297613
525	0.2965041373
530	0.2964803247
535	0.2964513697
540	0.2964272942
545	0.2964019038
550	0.2963809546
555	0.2963533145
560	0.2963307583
565	0.2963076761
570	0.2962817599
575	0.2962537983
580	0.2962302195
585	0.2962089196
590	0.2961885548
595	0.2961669627
600	0.2961385629
605	0.2961122084
610	0.2960818802
615	0.2960636775
620	0.2960484842
625	0.2960212823
630	0.2959972068
635	0.2959736571
640	0.2959447899
645	0.2959171205
650	0.2958989178
655	0.2958848055
660	0.2958614604
665	0.2958502408
670	0.2958207015
675	0.295805625
680	0.2957855231
685	0.295757211
690	0.2957378687
695	0.2957163351
700	0.2956973143
705	0.295675693
710	0.2956521142
715	0.2956353139
720	0.2956155626
725	0.2955961619
730	0.2955824003
735	0.295563993
740	0.2955476018
745	0.2955255715
750	0.2955066091
755	0.2954821829
760	0.2954650028
765	0.2954418038
770	0.2954239809
775	0.295401074
780	0.2953848873
785	0.2953570719
790	0.2953377004
795	0.295322624
800	0.29530559
805	0.2952907473
810	0.2952670223
815	0.2952490241
820	0.2952380382
825	0.2952170013
830	0.2951976006
835	0.2951862056
840	0.2951712169
845	0.295157017
